Appareil suivi;Consommation annuelle  AN1;Consommation annuelle AN2;Type;Consommation sur les 2 années
Divers cuisine;1004;1,2;1,6;1005.2
Imprimantes;709;1,4;1,5;710.4
Imprimantes;205;1,7;1,5;206.7
Tablettes_smartph;405;3,9;1,4;408.9
Hifi;407;0,8;1,4;407.8
Imprimantes;1002;2,1;1,4;1004.1
Loisirs;806;35,3;1,3;841.3
Imprimantes;201;1,4;1,3;202.4
Imprimantes;602;1,2;1,2;603.2
Audio_TV;402;18,7;1,2;420.7
Imprimantes;410;1,6;1,2;411.6
Imprimantes;202;8,1;1,2;210.1
Mobilité_électrique;911;4,1;1,1;915.1
Audio_TV;602;1,1;1,1;603.1
Hifi;703;11,6;1,0;714.6
Hifi;706;1,0;1,0;707.0
Hifi;310;0,9;0,9;310.9
Nettoyage_sols;605;0,9;0,8;605.9
Plaques cuisson;305;0,5;0,8;305.5
Imprimantes;301;0,2;0,8;301.2
Divers cuisine;606;0,7;0,7;606.7
Periph_multimedia;506;1,4;0,7;507.4
Nettoyage_sols;1011;3,3;0,7;1014.3
Imprimantes;606;0,6;0,6;606.6
Periph_multimedia;409;0,6;0,6;409.6
Piscines;1011;266,0;0,6;1277.0
Imprimantes;1005;0,4;0,6;1005.4
Periph_multimedia;908;0,5;0,5;908.5
Imprimantes;302;0,4;0,5;302.4
Imprimantes;1001;1,8;0,4;1002.8
Hifi;912;4,3;0,3;916.3
Imprimantes;510;0,2;0,3;510.2
Audio_TV;405;6,6;0,3;411.6
Imprimantes;305;0,2;0,3;305.2
Imprimantes;908;0,3;0,2;908.3
Imprimantes;603;0,5;0,2;603.5
Imprimantes;508;0,3;0,2;508.3
Imprimantes;105;0,3;0,2;105.3
Imprimantes;907;0,2;0,1;907.2
Imprimantes;905;0,2;0,0;905.2
Plaques cuisson;505;0,0;0,0;505.0
Clim_mob_rafraich_Déshum;403;29,3;0,0;432.3
Repassage;210;0,0;0,0;210.0
Audio_TV;209;0,5;0,0;209.5
Hifi;101;1,3;0,0;102.3
Periph_multimedia;1004;1,3;0,0;1005.3
Piscines;508;5033,1;-;5541.1
